"","fit.cluster"
"Japan",3
"Germany",3
"United Kingdom",3
"France",3
"Italy",3
"Korea",3
"Australia",3
"Spain",3
"Mexico",3
"Turkey",3
"Belgium",3
"Netherlands",3
"Albania",1
"Switzerland",1
"Sweden",1
"Poland",1
"New Zealand",1
"Denmark",1
"Czech Republic",1
"Lithuania",1
"Norway",1
"Slovak Republic",1
"Portugal",1
"Finland",1
"Azerbaijan",1
"Ireland",1
"Greece",1
"Georgia",1
"Hungary",1
"Slovenia",1
"Luxembourg",1
"FYR Macedonia",1
"Moldova",1
"Croatia",1
"Estonia",1
"Serbia, Republic of",1
"Latvia",1
"Iceland",1
"Malta",2
"Bulgaria",2
"Austria",2
"Bosnia-Herzegovina",2
"Canada",2
"Montenegro, Republic of",2
"Romania",2
"Russian Federation",2
"United States",2
