country,cluster
Rwanda,2
Algeria,2
Egypt,2
Guinea,2
Kenya,2
Cape Verde,2
Cameroon,2
Burundi,2
Zimbabwe,2
Mozambique,2
Senegal,2
Uganda,2
Mauritius,2
Botswana,2
Nigeria,2
Morocco,2
Sao Tome and Principe,2
Kazakhstan,2
Japan,2
Mongolia,2
Armenia,3
Bangladesh,2
Sri Lanka,2
Bhutan,2
Tajikistan,3
India,3
Turkmenistan,2
Georgia,3
Kyrgyzstan,2
Azerbaijan,2
Maldives,2
Republic of Korea,2
Nepal,3
Barbados,2
Grenada,2
Saint Kitts and Nevis,2
Guatemala,2
Dominican Republic,2
Jamaica,2
Costa Rica,2
Panama,2
Honduras,2
Nicaragua,2
El Salvador,2
Trinidad and Tobago,2
Bahamas,2
Andorra,2
Switzerland,1
France,2
Liechtenstein,2
Luxembourg,2
Monaco,2
Malta,2
Belarus,2
Germany,2
Italy,3
Spain,2
Netherlands,2
Poland,3
Belgium,2
Bulgaria,2
Hungary,2
Sweden,2
Czech Republic,2
Denmark,2
Portugal,2
Romania,2
Austria,2
Greece,2
Slovakia,2
Estonia,2
Ireland,2
Lithuania,2
Latvia,2
Slovenia,2
Norway,2
Russian Federation,2
Croatia,2
Ukraine,2
Republic of Moldova,2
The former Yugoslav Republic of Macedonia,2
Albania,2
Montenegro,2
Bosnia and Herzegovina,2
Serbia,2
Iceland,2
Finland,2
Canada,2
Mexico,2
United States of America,2
Australia,2
New Zealand,2
Solomon Islands,2
Hong Kong Special Administrative Region of China,2
Macao Special Administrative Region of China,2
Indonesia,2
Malaysia,2
Thailand,2
Singapore,2
Myanmar,2
Brunei Darussalam,2
Brazil,2
Argentina,2
Chile,2
Colombia,2
Peru,2
Ecuador,2
Paraguay,2
Uruguay,2
Bolivia (Plurinational State of),2
Guyana,2
Cyprus,2
Turkey,2
Bahrain,2
Kuwait,2
United Arab Emirates,2
Israel,2
Syrian Arab Republic,2
Jordan,2
Lebanon,2
State of Palestine,2
