score,word
0.025,FALL
0.017075609,grocery store
0.014456534,public transportation
0.00721999,within walking
0.007029137,distillery district
0.00439487,grocery stores
0.004052481,fresh fruit
0.004034997,went above
0.003936281,lawrence market
0.003416516,trinity bellwoods
0.003415255,exposed brick
0.003415255,bmo field
0.003415255,valley parkway
0.003202654,heating system
0.003122913,hockey hall
0.002956981,major attractions
0.002873732,paths crossed
0.00282585,rented robert
0.002733017,power outage
0.002731534,pearson airport
0.002670328,common areas
0.002606465,length mirror
0.002552526,without hesitation
0.002382614,baby crying
0.00225856,nothing negative
0.002191494,brick walls
0.002019853,detailed instructions
0.00194045,trouble finding
0.001939781,rooftop patio
0.001939069,gardiner expressway
