score,word
0.025,SPRING
0.018619709,public transportation
0.018403027,grocery store
0.011216585,distillery district
0.007399482,memory foam
0.006956749,grocery stores
0.006409797,lawrence market
0.006312494,think twice
0.005723492,gardiner expressway
0.005662014,within walking
0.004580218,subway station
0.004324284,water bottles
0.004276971,ceiling windows
0.003375091,young children
0.003306376,top-notch titles
0.003306376,cross-country musical
0.003306376,wearing shirts
0.003306376,incorporating scandinavian
0.003306376,cash cow
0.003306376,network failures
0.003306376,restaurants/grocery store/coffee
0.003306376,stephens sketches
0.003306376,numbered locking
0.003306376,calming tv/sofa
0.003306376,unpromising external
0.003306376,buen gusto
0.003306376,floorboard heaters
0.003306376,knee replaced
0.003306376,harmonious aesthetics
0.003306376,photographic evidence
