score,word
0.025,SUMMER
0.019205246,public transportation
0.01186524,grocery store
0.006853041,grocery stores
0.006667416,went above
0.00595422,molson amphitheatre
0.004655401,fashion district
0.004608351,without hesitation
0.004054816,memory foam
0.003776181,trinity bellwoods
0.003516743,within walking
0.003302535,cold beer
0.003247434,lawrence market
0.003156885,clear instructions
0.003084532,fitness vacation
0.003084471,heat wave
0.002939114,board games
0.002939113,bem aconchegante
0.002805945,molson canadian
0.002793007,trouble finding
0.002681968,story townhouse
0.002498506,brand new
0.002475643,smoothie mixer
0.002475643,follow-up renter
0.002475643,clean.the in-suite
0.002475643,i-have-had-lots-of-guests-that-visit-from-over-seas-but-this-is-the-first-time-i-booked-a-guest 4-nights
0.002475643,always-worried-she-will-kick-my-guest-out-in-the middle-of-the-night
0.002475643,give-you-a-chance-to-speak-especially-if-she-doesn't-like-what-your-saying..her-idea-of having-a-conversaition-is-it's-her-way-or-noway..-she-will-turn-things-around-to-make-you-feel
0.002475643,relativement chers
0.002475643,roof/patio renovations
