score,word
0.03,WINTER
0.029717618,cn tower
0.017125863,cleaning fees
0.012286649,grocery store
0.011904744,public transportation
0.011804087,bmo field
0.009399327,within walking
0.006550714,loves hosting
0.005962637,grocery stores
0.00472978,different types
0.00472978,freezing weather
0.004655527,coffee shops
0.004610745,water pressure
0.004459731,washer dryer
0.004459724,cheap uber
0.004124096,trinity bellwoods
0.004122849,gardiner expressway
0.004122562,memory foam
0.004122458,chrome cast
0.004121212,muchas veces
0.004121211,creativity flowing
0.004121211,contemporary townhouse
0.004121211,popular chain
0.004121211,photography lol
0.004121211,squash courts
0.004121211,ankle collided
0.004121211,wide shoved
0.004121211,tropical country
0.004121211,crew slacked
0.004121211,selection criteria
