id,fillKey
RWA,Rank 2
DZA,Rank 2
EGY,Rank 2
GIN,Rank 2
KEN,Rank 2
CPV,Rank 2
CMR,Rank 2
BDI,Rank 2
ZWE,Rank 2
MOZ,Rank 2
SEN,Rank 2
UGA,Rank 2
MUS,Rank 2
BWA,Rank 2
NGA,Rank 2
MAR,Rank 2
STP,Rank 2
KAZ,Rank 2
JPN,Rank 2
MNG,Rank 2
ARM,Rank 3
BGD,Rank 2
LKA,Rank 2
BTN,Rank 2
TJK,Rank 3
IND,Rank 3
TKM,Rank 2
GEO,Rank 3
KGZ,Rank 2
AZE,Rank 2
MDV,Rank 2
KOR,Rank 2
NPL,Rank 3
BRB,Rank 2
GRD,Rank 2
KNA,Rank 2
GTM,Rank 2
DOM,Rank 2
JAM,Rank 2
CRI,Rank 2
PAN,Rank 2
HND,Rank 2
NIC,Rank 2
SLV,Rank 2
TTO,Rank 2
BHS,Rank 2
AND,Rank 2
CHE,Rank 1
FRA,Rank 2
LIE,Rank 2
LUX,Rank 2
MCO,Rank 2
MLT,Rank 2
BLR,Rank 2
DEU,Rank 2
ITA,Rank 3
ESP,Rank 2
NLD,Rank 2
POL,Rank 3
BEL,Rank 2
BGR,Rank 2
HUN,Rank 2
SWE,Rank 2
CZE,Rank 2
DNK,Rank 2
PRT,Rank 2
ROU,Rank 2
AUT,Rank 2
GRC,Rank 2
SVK,Rank 2
EST,Rank 2
IRL,Rank 2
LTU,Rank 2
LVA,Rank 2
SVN,Rank 2
NOR,Rank 2
RUS,Rank 2
HRV,Rank 2
UKR,Rank 2
MDA,Rank 2
ALB,Rank 2
MNE,Rank 2
BIH,Rank 2
SRB,Rank 2
ISL,Rank 2
FIN,Rank 2
CAN,Rank 2
MEX,Rank 2
USA,Rank 2
AUS,Rank 2
NZL,Rank 2
SLB,Rank 2
HKG,Rank 2
MAC,Rank 2
IDN,Rank 2
MYS,Rank 2
THA,Rank 2
SGP,Rank 2
MMR,Rank 2
BRN,Rank 2
BRA,Rank 2
ARG,Rank 2
CHL,Rank 2
COL,Rank 2
PER,Rank 2
ECU,Rank 2
PRY,Rank 2
URY,Rank 2
BOL,Rank 2
GUY,Rank 2
CYP,Rank 2
TUR,Rank 2
BHR,Rank 2
KWT,Rank 2
ARE,Rank 2
ISR,Rank 2
SYR,Rank 2
JOR,Rank 2
LBN,Rank 2
PSE,Rank 2
