id,fillKey
AFG,Rank 1
ALB,Rank 1
DZA,Rank 1
AND,Rank 1
AGO,Rank 1
ATG,Rank 1
ARG,Rank 1
ARM,Rank 1
AUS,Rank 1
AUT,Rank 2
AZE,Rank 1
BHS,Rank 1
BHR,Rank 1
BGD,Rank 1
BRB,Rank 1
BLR,Rank 1
BEL,Rank 1
BLZ,Rank 1
BEN,Rank 1
BTN,Rank 1
BOL,Rank 1
BIH,Rank 1
BWA,Rank 1
BRA,Rank 2
BRN,Rank 1
BGR,Rank 1
BFA,Rank 1
BDI,Rank 1
CPV,Rank 1
KHM,Rank 1
CMR,Rank 1
CAN,Rank 1
CPV,Rank 1
CAF,Rank 1
TCD,Rank 1
CHL,Rank 1
CHN,Rank 3
COL,Rank 1
COM,Rank 1
COG,Rank 1
CRI,Rank 1
HRV,Rank 1
CUB,Rank 1
CYP,Rank 1
CZE,Rank 1
PRK,Rank 1
COG,Rank 1
COD,Rank 1
DNK,Rank 1
DJI,Rank 1
DMA,Rank 1
DOM,Rank 1
ECU,Rank 1
EGY,Rank 1
SLV,Rank 1
GNQ,Rank 1
ERI,Rank 1
EST,Rank 1
ETH,Rank 1
FJI,Rank 1
FIN,Rank 2
FRA,Rank 1
GAB,Rank 1
GMB,Rank 1
GEO,Rank 1
DEU,Rank 1
GHA,Rank 1
GRC,Rank 1
GRD,Rank 1
GTM,Rank 1
GIN,Rank 1
GNB,Rank 1
GUY,Rank 1
HTI,Rank 1
HND,Rank 1
HKG,Rank 1
HUN,Rank 2
ISL,Rank 1
IND,Rank 2
IDN,Rank 1
IRN,Rank 1
IRN,Rank 1
IRQ,Rank 1
IRL,Rank 1
ISR,Rank 1
ITA,Rank 1
JAM,Rank 1
JPN,Rank 3
JOR,Rank 1
KAZ,Rank 1
KEN,Rank 1
KIR,Rank 1
KOR,Rank 2
KWT,Rank 1
KGZ,Rank 1
LAO,Rank 1
LVA,Rank 1
LBN,Rank 1
LSO,Rank 1
LBR,Rank 1
LBY,Rank 1
LIE,Rank 1
LTU,Rank 2
LUX,Rank 1
MAC,Rank 1
MKD,Rank 1
MDG,Rank 1
MWI,Rank 1
MYS,Rank 1
MDV,Rank 1
MLI,Rank 1
MLT,Rank 1
MHL,Rank 1
MRT,Rank 1
MUS,Rank 1
MEX,Rank 2
FSM,Rank 1
MDA,Rank 1
MCO,Rank 1
MNG,Rank 1
MNE,Rank 1
MAR,Rank 1
MOZ,Rank 1
MMR,Rank 1
NAM,Rank 1
NRU,Rank 1
NPL,Rank 1
NLD,Rank 1
NZL,Rank 1
NIC,Rank 1
NER,Rank 1
NGA,Rank 1
NOR,Rank 1
OMN,Rank 1
PAK,Rank 1
PLW,Rank 1
PAN,Rank 1
PNG,Rank 1
PRY,Rank 1
PER,Rank 1
PHL,Rank 1
POL,Rank 2
PRT,Rank 1
QAT,Rank 1
MDA,Rank 1
ROU,Rank 1
RUS,Rank 1
RUS,Rank 3
RWA,Rank 1
KNA,Rank 1
LCA,Rank 1
WSM,Rank 1
SMR,Rank 1
STP,Rank 1
SAU,Rank 1
SEN,Rank 1
SRB,Rank 1
SYC,Rank 1
SLE,Rank 1
SGP,Rank 1
SVK,Rank 1
SVN,Rank 1
SLB,Rank 1
SOM,Rank 1
ZAF,Rank 2
SSD,Rank 1
ESP,Rank 1
LKA,Rank 1
SDN,Rank 1
SUR,Rank 1
SWZ,Rank 1
SWE,Rank 2
CHE,Rank 1
SYR,Rank 1
TJK,Rank 1
TZA,Rank 1
THA,Rank 2
TLS,Rank 1
TGO,Rank 1
TON,Rank 1
TTO,Rank 1
TUN,Rank 1
TUR,Rank 1
TKM,Rank 1
TUV,Rank 1
UGA,Rank 1
UKR,Rank 1
ARE,Rank 1
GBR,Rank 1
USA,Rank 3
URY,Rank 1
UZB,Rank 1
VUT,Rank 1
VEN,Rank 1
VEN,Rank 1
VNM,Rank 1
YEM,Rank 1
ZMB,Rank 1
ZWE,Rank 1
