id,fillKey
NGA,Rank 4
KEN,Rank 4
CMR,Rank 4
KAZ,Rank 2
DZA,Rank 2
PHL,Rank 2
PAK,Rank 2
GTM,Rank 2
AZE,Rank 1
TKM,Rank 1
UKR,Rank 1
JOR,Rank 1
BLR,Rank 1
PER,Rank 1
EGY,Rank 1
MAR,Rank 1
VNM,Rank 1
IDN,Rank 1
MKD,Rank 1
GEO,Rank 1
BIH,Rank 1
HRV,Rank 1
UZB,Rank 1
IND,Rank 1
BOL,Rank 1
RUS,Rank 1
ROU,Rank 1
THA,Rank 1
SAU,Rank 1
CHN,Rank 1
IRN,Rank 3
DOM,Rank 3
LTU,Rank 3
MEX,Rank 3
ECU,Rank 3
TUN,Rank 3
TUR,Rank 3
MYS,Rank 3
EST,Rank 3
ARG,Rank 3
LVA,Rank 3
CRI,Rank 3
VEN,Rank 3
ZAF,Rank 3
HUN,Rank 3
BGR,Rank 3
URY,Rank 3
KWT,Rank 3
SVK,Rank 3
COL,Rank 3
PRT,Rank 3
GRC,Rank 3
POL,Rank 3
CZE,Rank 3
BRA,Rank 3
CHL,Rank 3
NZL,Rank 3
ISR,Rank 3
SVN,Rank 3
ITA,Rank 3
JPN,Rank 3
HKG,Rank 3
TWN,Rank 3
ARE,Rank 3
FRA,Rank 3
ESP,Rank 3
KOR,Rank 3
BHR,Rank 3
BEL,Rank 3
FIN,Rank 3
SWE,Rank 3
NOR,Rank 3
QAT,Rank 3
NLD,Rank 3
DNK,Rank 3
DEU,Rank 3
AUT,Rank 3
AUS,Rank 3
IRL,Rank 3
CAN,Rank 3
CHE,Rank 3
GBR,Rank 3
SGP,Rank 3
USA,Rank 3
