country,cluster
Nigeria,2
Kenya,2
Cameroon,2
Kazakhstan,2
Algeria,2
Philippines,2
Pakistan,2
Guatemala,2
Azerbaijan,2
Turkmenistan,2
Ukraine,2
Jordan,2
Belarus,2
Peru,2
Egypt,2
Morocco,2
Vietnam,2
Indonesia,2
Macedonia,3
Georgia,2
Bosnia and Herzegovina,2
Croatia,2
Uzbekistan,3
India,3
Bolivia,2
Russia,2
Romania,2
Thailand,3
Saudi Arabia,2
China,2
Serbia,2
Iran,3
Dominican Republic,2
Lithuania,2
Mexico,2
Ecuador,2
Tunisia,3
Turkey,3
Malaysia,3
Estonia,2
Argentina,2
Latvia,3
Costa Rica,2
Venezuela,2
Montenegro,2
South Africa,2
Hungary,2
Bulgaria,2
Uruguay,2
Kuwait,2
Slovakia,1
Colombia,1
Portugal,1
Greece,1
Poland,1
Czech Republic,3
Brazil,1
Chile,1
New Zealand,3
Israel,1
Slovenia,1
Italy,1
Japan,1
Hong Kong,1
Taiwan,1
United Arab Emirates,1
France,1
Spain,1
South Korea,3
Bahrain,1
Belgium,1
Finland,1
Sweden,1
Norway,3
Qatar,1
Netherlands,1
Denmark,1
Germany,1
Austria,1
Australia,1
Ireland,1
Canada,1
Switzerland,1
United Kingdom,1
Singapore,1
United States,1
