country,cluster
NGA,Rank 2
KEN,Rank 2
CMR,Rank 2
KAZ,Rank 2
DZA,Rank 2
PHL,Rank 2
PAK,Rank 2
GTM,Rank 2
AZE,Rank 2
TKM,Rank 2
UKR,Rank 2
JOR,Rank 2
BLR,Rank 2
PER,Rank 2
EGY,Rank 2
MAR,Rank 2
VNM,Rank 2
IDN,Rank 2
MKD,Rank 3
GEO,Rank 2
BIH,Rank 2
HRV,Rank 2
UZB,Rank 3
IND,Rank 3
BOL,Rank 2
RUS,Rank 2
ROU,Rank 2
THA,Rank 3
SAU,Rank 2
CHN,Rank 2
SRB,Rank 2
IRN,Rank 3
DOM,Rank 2
LTU,Rank 2
MEX,Rank 2
ECU,Rank 2
TUN,Rank 3
TUR,Rank 3
MYS,Rank 3
EST,Rank 2
ARG,Rank 2
LVA,Rank 3
CRI,Rank 2
VEN,Rank 2
MNE,Rank 2
ZAF,Rank 2
HUN,Rank 2
BGR,Rank 2
URY,Rank 2
KWT,Rank 2
SVK,Rank 1
COL,Rank 1
PRT,Rank 1
GRC,Rank 1
POL,Rank 1
CZE,Rank 3
BRA,Rank 1
CHL,Rank 1
NZL,Rank 3
ISR,Rank 1
SVN,Rank 1
ITA,Rank 1
JPN,Rank 1
HKG,Rank 1
TWN,Rank 1
ARE,Rank 1
FRA,Rank 1
ESP,Rank 1
KOR,Rank 3
BHR,Rank 1
BEL,Rank 1
FIN,Rank 1
SWE,Rank 1
NOR,Rank 3
QAT,Rank 1
NLD,Rank 1
DNK,Rank 1
DEU,Rank 1
AUT,Rank 1
AUS,Rank 1
IRL,Rank 1
CAN,Rank 1
CHE,Rank 1
GBR,Rank 1
SGP,Rank 1
USA,Rank 1
